,filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
2,../../../2017_Feb_Zr/50MeV/CC220217_Ti06_18cm_50MeV.Spe,44SCm,271.241,9361.128730854747,93.7510343993164,0.867,0.003,0.0036733647795405,0.0002913096065749,2944387.2170976177,237531.8606085892,564.3832120179447,45.530354726584086,0.8685343824737183,02/22/2017 09:31:51,5208.0,5217.0
3,../../../2017_Feb_Zr/50MeV/CC220217_Ti06_18cm_50MeV.Spe,46SC,889.277,4892.29872985125,90.92806738160245,0.99984,1e-05,0.0014110420740174,6.632342013946858e-05,3473700.394468083,182464.7512823237,665.8425137949172,34.975033789979626,1.7107790806549503,02/22/2017 09:31:51,5208.0,5217.0
4,../../../2017_Feb_Zr/50MeV/CC220217_Ti06_18cm_50MeV.Spe,48V,944.13,925.1464203733252,31.821571918136502,0.0787,7.000000000000001e-05,0.0013468907581798,6.734846179571997e-05,8742854.052069278,603516.294896145,1675.8393812668735,115.68263271921506,0.8365909819887337,02/22/2017 09:31:51,5208.0,5217.0
5,../../../2017_Feb_Zr/50MeV/CC220217_Ti06_18cm_50MeV.Spe,48V,983.525,6674.4943091485175,1638.468864089605,0.9998,0.0004,0.0013038192957768,6.777999984691493e-05,5129058.964212007,1288547.4309284843,983.1433705600932,246.99011518659853,0.8199736636826059,02/22/2017 09:31:51,5208.0,5217.0
6,../../../2017_Feb_Zr/50MeV/CC220217_Ti06_18cm_50MeV.Spe,48SC,983.526,5955.499094819703,1638.8980589046596,1.001,0.006,0.001303818232624,6.778001187798092e-05,4571059.734997595,1281824.0322336445,876.1854964534397,245.7013671139821,0.8199736636826059,02/22/2017 09:31:51,5208.0,5217.0
7,../../../2017_Feb_Zr/50MeV/CC220217_Ti06_18cm_50MeV.Spe,48SC,1037.522,715.5952715024148,42.99315041715448,0.976,0.0069999999999999,0.0012487560148313,6.775275328179053e-05,588152.4528965238,52613.35229086132,112.7376754641602,10.084982229415624,1.9623320888523503,02/22/2017 09:31:51,5208.0,5217.0
8,../../../2017_Feb_Zr/50MeV/CC220217_Ti06_18cm_50MeV.Spe,46SC,1120.545,3903.315437794652,94.2172894264431,0.99987,1e-05,0.0011743130134241,6.62708064429523e-05,3330090.979034705,211233.4324624149,638.3153112966658,40.489444596974295,2.37463715166258,02/22/2017 09:31:51,5208.0,5217.0
9,../../../2017_Feb_Zr/50MeV/CC220217_Ti06_18cm_50MeV.Spe,44SC,1157.02,3347.8414469013887,77.76090636080676,0.999,0.004,0.0011449026394928,6.494462443627867e-05,2932112.963376534,187103.76765009528,562.0304702657724,35.86424528466461,1.908842452851629,02/22/2017 09:31:51,5208.0,5217.0
10,../../../2017_Feb_Zr/50MeV/CC220217_Ti06_18cm_50MeV.Spe,47CA,1297.09,54.09000904596823,11.24833216749136,0.67,0.0335,0.0010448499845296,6.219738265130673e-05,77399.50298680211,20150.177948072986,14.836017440445104,3.862407120581365,1.079410799044305,02/22/2017 09:31:51,5208.0,5217.0
11,../../../2017_Feb_Zr/50MeV/CC220217_Ti06_18cm_50MeV.Spe,48V,1312.106,7645.054575571126,3093.3654349618387,0.982,0.003,0.001035182781609,6.348518474032261e-05,7533589.007861773,3084367.8850145023,1444.0461966382543,591.2148524083769,1.079410799044305,02/22/2017 09:31:51,5208.0,5217.0
